file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
2.4mhz_alum.csv,sensor1, sensor2,Crack 3,12578.771,12545.914,124,249,193,193,12425.969,23.452181,23.243519269841272,0.0018116002163225352,0.20866173015872747,115.18089271500592,41.22760880454081
2.4mhz_alum.csv,sensor1, sensor2,Crack 3,12549.588,12587.579,1127,1258,1183,1183,12427.438,23.451122,23.242614524096386,0.0018116002163225352,0.20850747590361607,115.09574464882579,41.22118534145824
2.4mhz_ss.csv,sensor1, sensor2,Crack 1,10170.433,10158.341,553,670,606,606,10171.814,23.430897,23.411059054878052,0.0036466585619320587,0.019837945121949474,5.440033604747193,14.712031649519462
2.4mhz_ss.csv,sensor1, sensor2,Crack 1,10171.288,10197.068,752,864,799,799,10185.644,23.430134,23.410987557575755,0.0036466585619320587,0.019146442424244015,5.250407215009436,14.403859760969382
2.4mhz_ss.csv,sensor1, sensor2,Crack 2,10203.237,10177.628,349,469,415,415,10124.288,23.511486,23.410304099290776,0.0036466585619320587,0.10118190070922495,27.74646953939585,28.864154626939097
2.4mhz_ss.csv,sensor1, sensor2,Crack 2,10205.791,10225.652,949,1060,1003,1003,10148.68,23.50877,23.410611452054795,0.0036466585619320587,0.09815854794520362,26.91739472674887,28.600660464270167
2.4mhz_ss.csv,sensor1, sensor2,Crack 3,10230.09,10219.161,160,290,227,227,10027.77,23.656868,23.414436619266056,0.0036466585619320587,0.24243138073394377,66.48041669289151,36.453874658016964
2.4mhz_ss.csv,sensor1, sensor2,Crack 3,10244.329,10263.784,1123,1266,1185,1185,10051.409,23.653547,23.41583118269231,0.0036466585619320587,0.23771581730769142,65.1872977056963,36.28325956072414
2.4mhz_titan.csv,sensor1, sensor2,Crack 1,10074.159,10072.882,526,629,563,563,10083.952,24.161215,24.155910798076924,0.00286200007953774,0.005304201923074459,1.8533199775211655,5.359008143257695
2.4mhz_titan.csv,sensor1, sensor2,Crack 1,10093.711,10093.329,756,875,801,801,10108.135,24.162426,24.156098737113396,0.00286200007953774,0.0063272628866037905,2.2107836166188184,6.890924750197589
2.4mhz_titan.csv,sensor1, sensor2,Crack 2,10089.318,10078.782,319,443,383,383,10063.618,24.209377,24.152050896000002,0.00286200007953774,0.05732610399999771,20.030084698410217,26.033655714752616
2.4mhz_titan.csv,sensor1, sensor2,Crack 2,10095.011,10100.291,944,1071,1007,1007,10090.063,24.211134,24.15223951923077,0.00286200007953774,0.05889448076923287,20.57808495195615,26.26809911552865
2.4mhz_titan.csv,sensor1, sensor2,Crack 3,10095.093,10087.2,131,275,209,209,9967.742,24.323399,24.153363626436782,0.00286200007953774,0.1700353735632163,59.4113797476483,35.47739276772631
2.4mhz_titan.csv,sensor1, sensor2,Crack 3,10102.383,10123.816,1108,1259,1187,1187,9993.701,24.323719,24.15323965934066,0.00286200007953774,0.170479340659341,59.56650451486927,35.500042311043636
3.2mhz_alum.csv,sensor1, sensor2,Crack 1,5478.672,5463.724,530,642,595,595,5462.076,2.981226,2.9766960052083333,0.001023772111162372,0.004529994791666603,4.424807769497971,12.917888160746019
3.2mhz_alum.csv,sensor1, sensor2,Crack 1,5476.839,5480.781,766,876,833,833,5468.206,2.981564,2.976449893023256,0.001023772111162372,0.005114106976744193,4.995356799608197,13.971330273930258
3.2mhz_alum.csv,sensor1, sensor2,Crack 2,5509.325,5488.074,328,460,393,393,5475.149,2.989551,2.976003958333333,0.001023772111162372,0.013547041666666981,13.23247773499702,22.432823438376907
3.2mhz_alum.csv,sensor1, sensor2,Crack 2,5491.024,5508.869,969,1096,1032,1032,5480.377,2.989432,2.975626435897436,0.001023772111162372,0.013805564102563839,13.48499724893781,22.597017243777827
3.2mhz_alum.csv,sensor1, sensor2,Crack 3,5542.718,5522.04,129,252,195,195,5488.263,3.001545,2.974768799019608,0.001023772111162372,0.02677620098039224,26.154454383398896,28.35091328998314
3.2mhz_alum.csv,sensor1, sensor2,Crack 3,5519.794,5541.904,1161,1288,1226,1226,5490.681,3.001835,2.974917816091953,0.001023772111162372,0.02691718390804665,26.29216367057057,28.39652654260963
