file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,window_width,window_point_count,window_mean_y,window_peak_raw_idx,window_peak_raw_x,window_peak_raw_y,manual_label
2.4mhz_alum.csv, sensor2,timestamp,2,95533.30891458693,98477.78267778101,315,431,2944.4737631940807,117,23.29185205128205,380,97183.0,23.349148,Crack 2
2.4mhz_alum.csv, sensor2,timestamp,3,100326.63829653077,103510.77852882203,506,633,3184.140232291262,128,23.2588129609375,577,102108.0,23.275497,Crack 1
2.4mhz_alum.csv, sensor2,timestamp,4,106284.06195694668,109262.77378715464,745,859,2978.7118302079616,115,23.25816706956522,800,107779.0,23.273418,Crack 1
2.4mhz_alum.csv, sensor2,timestamp,5,111248.58167395994,114330.00770520954,939,1054,3081.4260312496044,116,23.288427948275864,992,112675.0,23.349377,Crack 2
2.4mhz_alum.csv, sensor2,timestamp,6,116144.62525694542,119636.90809236164,1127,1258,3492.2828354162193,132,23.320743924242425,1183,117642.0,23.451122,Crack 3
2.4mhz_ss.csv, sensor2,timestamp,1,408430.0694783573,411709.3418423973,160,290,3279.2723640399636,131,23.513196603053437,227,410124.0,23.656868,Crack 3
2.4mhz_ss.csv, sensor2,timestamp,2,413150.7802441731,416177.80088790227,349,469,3027.0206437291927,121,23.45791396694215,415,414824.0,23.511486,Crack 2
2.4mhz_ss.csv, sensor2,timestamp,3,418267.88657047716,421403.01509433956,553,670,3135.128523862397,118,23.42193658474576,606,419696.0,23.430897,Crack 1
2.4mhz_ss.csv, sensor2,timestamp,4,423421.02885682567,426267.86970033287,752,864,2846.840843507205,113,23.422901247787614,799,424618.0,23.430134,Crack 1
2.4mhz_ss.csv, sensor2,timestamp,5,428357.9553829078,431457.0479467258,949,1060,3099.092563817976,112,23.457436642857143,1003,429815.0,23.50877,Crack 2
2.4mhz_ss.csv, sensor2,timestamp,6,433006.5942286348,436790.3700332963,1123,1266,3783.7758046615054,144,23.50150604166667,1185,434656.0,23.653547,Crack 3
2.4mhz_titan.csv, sensor2,timestamp,1,293882.79669545696,297514.64845617884,131,275,3631.851760721882,145,24.219288620689653,209,295851.0,24.323399,Crack 3
2.4mhz_titan.csv, sensor2,timestamp,2,298600.80973041337,301893.23609293695,319,443,3292.4263625235762,125,24.177861847999996,383,300297.0,24.209377,Crack 2
2.4mhz_titan.csv, sensor2,timestamp,3,303963.7310219466,306645.19166771317,526,629,2681.4606457665795,104,24.158269788461535,563,304893.0,24.161215,Crack 1
2.4mhz_titan.csv, sensor2,timestamp,4,309903.6754904169,312890.61899456196,756,875,2986.943504145078,120,24.15813710833333,801,311035.0,24.162426,Crack 1
2.4mhz_titan.csv, sensor2,timestamp,5,318898.4485426719,322869.72570159205,1108,1259,3971.2771589201293,152,24.213271710526318,1187,320877.0,24.323719,Crack 3
2.4mhz_titan.csv, sensor2,timestamp,6,314587.7459855535,317981.9999675365,944,1071,3394.253981982998,128,24.178862257812497,1007,316377.0,24.211134,Crack 2
3.2mhz_alum.csv, sensor2,timestamp,1,186210.50899644478,189313.80077015358,129,252,3103.291773708799,124,2.986565225806451,195,187869.0,3.001545,Crack 3
3.2mhz_alum.csv, sensor2,timestamp,2,191190.2097496054,194510.01025171243,328,460,3319.800502107042,133,2.9818444962406008,393,192819.0,2.989551,Crack 2
3.2mhz_alum.csv, sensor2,timestamp,3,196242.08007889873,199056.69354807647,530,642,2814.6134691777406,113,2.9790723362831857,595,197869.0,2.981226,Crack 1
3.2mhz_alum.csv, sensor2,timestamp,4,202123.90053371884,204902.4292148302,766,876,2778.5286811113474,111,2.9790993423423413,833,203819.0,2.981564,Crack 1
3.2mhz_alum.csv, sensor2,timestamp,5,207211.85565107857,210603.8257293184,969,1096,3391.9700782398286,128,2.9818516953125,1032,208890.0,2.989432,Crack 2
3.2mhz_alum.csv, sensor2,timestamp,6,212191.55640423918,215583.526482479,1161,1288,3391.9700782398286,128,2.9857506640625,1226,213932.0,3.001835,Crack 3
3.2mhz_ss.csv, sensor2,timestamp,1,87066.21789061416,91195.05248237238,108,272,4128.834591758219,165,2.990938654545454,193,89200.0,3.014054,Crack 3
3.2mhz_ss.csv, sensor2,timestamp,2,92937.49643852723,96195.10905220803,343,472,3257.6126136808016,130,2.984910776923077,412,94675.0,2.993445,Crack 2
3.2mhz_ss.csv, sensor2,timestamp,3,98619.37890424956,101346.68248779628,570,678,2727.3035835467163,109,2.978905495412845,610,99625.0,2.980462,Crack 1
3.2mhz_ss.csv, sensor2,timestamp,4,104642.17431791523,107596.75320009084,811,928,2954.578882175614,118,2.9790952627118643,867,106050.0,2.980564,Crack 1
3.2mhz_ss.csv, sensor2,timestamp,5,110361.9360000757,113960.46156169983,1040,1183,3598.525561624134,144,2.984734840277778,1103,111950.0,2.993586,Crack 2
3.2mhz_ss.csv, sensor2,timestamp,6,115740.78473429283,119983.25697536551,1255,1416,4242.472241072683,162,2.9897413456790125,1339,117946.0,3.013147,Crack 3
