timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size
1780352831.721,1406705.0,7053.406,9.415613,,,,
1780352831.722,1406730.0,7053.381,9.415613,,,,
1780352831.788,1406755.0,7053.403,9.415613,,,,
1780352831.789,1406780.0,7053.444,9.415613,,,,
1780352831.790,1406805.0,7053.467,9.415613,,,,
1780352831.866,1406830.0,7053.475,9.415613,,,,
1780352831.867,1406855.0,7053.467,9.415854,,,,
1780352831.868,1406880.0,7053.505,9.415854,,,,
1780352831.936,1406905.0,7053.607,9.415854,,,,
1780352831.936,1406930.0,7053.672,9.415613,,,,
1780352831.937,1406955.0,7053.721,9.415372,,,,
1780352832.004,1406980.0,7053.581,9.415132,,,,
1780352832.005,1407005.0,7053.637,9.414889,,,,
1780352832.072,1407030.0,7053.588,9.414889,,,,
1780352832.073,1407055.0,7053.497,9.41489,,,,
1780352832.073,1407080.0,7053.532,9.414649,,,,
1780352832.137,1407105.0,7053.551,9.41489,,,,
1780352832.138,1407130.0,7053.369,9.415132,,,,
1780352832.138,1407155.0,7053.267,9.41489,,,,
1780352832.205,1407180.0,7053.309,9.41489,,,,
1780352832.206,1407205.0,7053.419,9.414649,,,,
1780352832.207,1407230.0,7053.271,9.414408,,,,
1780352832.287,1407255.0,7053.252,9.414408,,,,
1780352832.289,1407280.0,7053.138,9.414408,,,,
1780352832.290,1407305.0,7053.125,9.414408,,,,
1780352832.371,1407330.0,7053.088,9.414408,,,,
1780352832.372,1407355.0,7053.145,9.414649,,,,
1780352832.372,1407380.0,7053.092,9.414649,,,,
1780352832.437,1407405.0,7052.997,9.414649,,,,
1780352832.439,1407430.0,7052.913,9.41489,,,,
1780352832.439,1407455.0,7052.871,9.415132,,,,
1780352832.503,1407480.0,7052.891,9.415132,,,,
1780352832.504,1407505.0,7052.837,9.415132,,,,
1780352832.571,1407530.0,7052.775,9.415372,,,,
1780352832.572,1407555.0,7052.716,9.415613,,,,
1780352832.573,1407580.0,7052.56,9.415613,,,,
1780352832.636,1407605.0,7052.583,9.415613,,,,
1780352832.637,1407630.0,7052.516,9.415854,,,,
1780352832.637,1407655.0,7052.473,9.415613,,,,
1780352832.706,1407680.0,7052.545,9.415372,,,,
1780352832.707,1407705.0,7052.447,9.415372,,,,
1780352832.709,1407730.0,7052.413,9.415132,,,,
1780352832.806,1407755.0,7052.531,9.415132,,,,
1780352832.806,1407780.0,7052.633,9.415131,,,,
1780352832.807,1407805.0,7052.599,9.415372,,,,
1780352832.807,1407830.0,7052.481,9.415372,,,,
1780352832.870,1407855.0,7052.591,9.415613,,,,
1780352832.871,1407880.0,7052.637,9.415613,,,,
1780352832.936,1407905.0,7052.736,9.415613,,,,
1780352832.936,1407930.0,7052.728,9.415854,,,,
1780352832.937,1407955.0,7052.827,9.415613,,,,
1780352833.004,1407980.0,7052.785,9.415613,,,,
1780352833.005,1408005.0,7052.75,9.415613,,,,
1780352833.086,1408030.0,7052.815,9.415613,,,,
1780352833.087,1408055.0,7052.891,9.415372,,,,
1780352833.087,1408080.0,7052.895,9.415132,,,,
1780352833.088,1408105.0,7052.917,9.41489,,,,
1780352833.154,1408130.0,7052.89,9.414889,,,,
1780352833.154,1408155.0,7053.004,9.414648,,,,
1780352833.222,1408180.0,7053.02,9.414648,,,,
1780352833.223,1408205.0,7053.092,9.41489,,,,
1780352833.223,1408230.0,7053.152,9.415132,,,,
1780352833.287,1408255.0,7053.284,9.415132,,,,
1780352833.288,1408280.0,7053.334,9.415132,,,,
1780352833.288,1408305.0,7053.341,9.415132,,,,
1780352833.355,1408330.0,7053.486,9.415372,,,,
1780352833.355,1408355.0,7053.436,9.415372,,,,
1780352833.421,1408380.0,7053.452,9.415372,,,,
1780352833.422,1408405.0,7053.517,9.415613,,,,
1780352833.423,1408430.0,7053.499,9.415372,,,,
1780352833.505,1408455.0,7053.453,9.415613,,,,
1780352833.505,1408480.0,7053.438,9.415372,,,,
1780352833.506,1408505.0,7053.321,9.415132,,,,
1780352833.506,1408530.0,7053.263,9.41489,,,,
1780352833.579,1408555.0,7053.271,9.41489,,,,
1780352833.579,1408580.0,7053.171,9.415132,,,,
1780352833.654,1408605.0,7053.187,9.415132,,,,
1780352833.655,1408630.0,7053.259,9.415372,,,,
1780352833.656,1408655.0,7053.18,9.415613,,,,
1780352833.657,1408680.0,7053.252,9.415613,,,,
1780352833.720,1408705.0,7053.385,9.415613,,,,
1780352833.721,1408730.0,7053.479,9.415613,,,,
1780352833.786,1408755.0,7053.442,9.415854,,,,
1780352833.787,1408780.0,7053.411,9.416096,,,,
1780352833.787,1408805.0,7053.415,9.416096,,,,
1780352833.872,1408830.0,7053.482,9.415854,,,,
1780352833.872,1408855.0,7053.453,9.415613,,,,
1780352833.873,1408880.0,7053.415,9.415613,,,,
1780352833.952,1408905.0,7053.415,9.415854,,,,
1780352833.953,1408930.0,7053.429,9.416096,,,,
1780352833.954,1408955.0,7053.263,9.415854,,,,
1780352834.020,1408980.0,7053.228,9.416096,,,,
1780352834.022,1409005.0,7053.149,9.416096,,,,
1780352834.023,1409030.0,7053.092,9.416096,,,,
1780352834.085,1409055.0,7053.07,9.416337,,,,
1780352834.086,1409080.0,7053.089,9.416337,,,,
1780352834.086,1409105.0,7053.077,9.416577,,,,
1780352834.152,1409130.0,7053.203,9.416577,,,,
