timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size
1780357360.380,91965.0,7989.288,9.899052,,,,
1780357360.462,91990.0,7946.188,9.872333,,,,
1780357360.463,92015.0,7885.917,9.837093,,,,
1780357360.464,92040.0,7844.629,9.813983,,,,
1780357360.545,92065.0,7857.549,9.821614,,,,
1780357360.546,92090.0,7910.226,9.852419,,,,
1780357360.547,92115.0,7933.067,9.866382,,,,
1780357360.548,92140.0,7946.017,9.874398,,,,
1780357360.630,92165.0,7934.968,9.867725,,,,
1780357360.631,92190.0,7941.65,9.871316,,,,
1780357360.631,92215.0,7997.724,9.902717,,,,
1780357360.711,92240.0,8059.498,9.937693,,,,
1780357360.712,92265.0,8134.975,9.982655,,,,
1780357360.713,92290.0,8202.251,10.023607,,,,
1780357360.796,92315.0,8162.656,9.998425,,,,
1780357360.797,92340.0,8111.717,9.968107,,,,
1780357360.798,92365.0,8069.781,9.943955,,,,
1780357360.798,92390.0,8065.533,9.941592,,,,
1780357360.879,92415.0,8113.681,9.969958,,,,
1780357360.879,92440.0,8152.123,9.992601,,,,
1780357360.880,92465.0,8160.571,9.997752,,,,
1780357360.962,92490.0,8145.019,9.988195,,,,
1780357360.963,92515.0,8117.717,9.972475,,,,
1780357360.964,92540.0,8142.322,9.986032,,,,
1780357361.045,92565.0,8215.19,10.025314,,,,
1780357361.046,92590.0,8295.77,10.070525,,,,
1780357361.047,92615.0,8407.871,10.136979,,,,
1780357361.130,92640.0,8405.962,10.135374,,,,
1780357361.131,92665.0,8364.443,10.110069,,,,
1780357361.132,92690.0,8311.262,10.079174,,,,
1780357361.133,92715.0,8290.726,10.067744,,,,
1780357361.246,92740.0,8338.777,10.095227,,,,
1780357361.247,92765.0,8384.271,10.121361,,,,
1780357361.248,92790.0,8376.676,10.116392,,,,
1780357361.249,92815.0,8348.256,10.099284,,,,
1780357361.250,92840.0,8276.758,10.058354,,,,
1780357361.328,92865.0,8267.33,10.053411,,,,
1780357361.330,92890.0,8331.807,10.121769,,,,
1780357361.332,92915.0,8407.297,10.206553,,,,
1780357361.412,92940.0,8544.334,10.286993,,,,
1780357361.414,92965.0,8587.744,10.312791,,,,
1780357361.415,92990.0,8563.072,10.297532,,,,
1780357361.495,93015.0,8519.813,10.271929,,,,
1780357361.496,93040.0,8495.14,10.257692,,,,
1780357361.497,93065.0,8514.423,10.268377,,,,
1780357361.498,93090.0,8564.662,10.296742,,,,
1780357361.582,93115.0,8588.663,10.310246,,,,
1780357361.583,93140.0,8587.105,10.308455,,,,
1780357361.584,93165.0,8524.122,10.271733,,,,
1780357361.662,93190.0,8463.74,10.238975,,,,
1780357361.664,93215.0,8469.765,10.24352,,,,
1780357361.665,93240.0,8504.395,10.272372,,,,
1780357361.745,93265.0,8614.808,10.336254,,,,
1780357361.746,93290.0,8708.039,10.390322,,,,
1780357361.747,93315.0,8671.134,10.366357,,,,
1780357361.829,93340.0,8633.323,10.343627,,,,
1780357361.831,93365.0,8576.171,10.310601,,,,
1780357361.832,93390.0,8572.819,10.308666,,,,
1780357361.833,93415.0,8647.119,10.351093,,,,
1780357361.911,93440.0,8691.581,10.376694,,,,
1780357361.912,93465.0,8708.863,10.386354,,,,
1780357361.913,93490.0,8660.91,10.357708,,,,
1780357361.997,93515.0,8563.149,10.269859,,,,
1780357361.998,93540.0,8543.39,10.214617,,,,
1780357362.000,93565.0,8578.258,10.304911,,,,
1780357362.000,93590.0,8671.945,10.408484,,,,
1780357362.079,93615.0,8771.635,10.465971,,,,
1780357362.080,93640.0,8748.3,10.450545,,,,
1780357362.080,93665.0,8714.612,10.429946,,,,
1780357362.163,93690.0,8656.468,10.396045,,,,
