file,Material,Inductor,Experiment,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
alum_8.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4817.381,4847.241,680,756,720,720,4712.284,2.795083,2.762103376,0.000964826,0.032979624,34.18193669,30.67593331
ss_11.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,3985.518,4047.926,377,453,407,407,4050.138,2.903894,2.8992121,0.005153837,0.0046819,0.908429916,-0.834171441
ss_11.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4009.965,3974.595,516,607,561,561,3996.541,2.920507,2.899026845,0.005153837,0.021480155,4.167798532,12.39813435
ss_11.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4049.348,3933.235,656,733,693,693,3848.65,2.939718,2.898454929,0.005153837,0.041263071,8.00628155,18.06861717
ss_12.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4081.63,3928.719,352,462,407,407,3985.318,2.857116,2.850734093,0.003758933,0.006381907,1.697797362,4.597717087
ss_12.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4063.141,4065.349,531,620,570,570,3940.514,2.874726,2.851513841,0.003758933,0.023212159,6.175198404,15.81301831
ss_12.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3939.838,3945.068,666,746,700,700,3837.471,2.899558,2.852367622,0.003758933,0.047190378,12.55419377,21.97577655
ss_4.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4181.378,4087.382,354,431,384,384,3996.381,2.831262,2.823136993,0.005940556,0.008125007,1.3677184,2.71993379
ss_4.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4086.094,4059.597,490,596,546,546,3869.934,2.847636,2.824161314,0.005940556,0.023474686,3.951597638,11.93545434
ss_4.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3993.866,3711.284,679,805,743,743,3811.919,2.874567,2.816707209,0.005940556,0.057859791,9.739794517,19.77099589
ss_6.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4170.183,3961.976,379,444,423,423,3880.871,2.630504,2.62894959,0.007044945,0.00155441,0.220641956,-13.12623801
ss_6.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4013.111,4008.805,524,605,563,563,3965.252,2.645063,2.623344955,0.007044945,0.021718045,3.082784084,9.778862163
ss_6.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4067.918,3973.056,661,737,698,698,3871.996,2.671451,2.624703759,0.007044945,0.046747241,6.635572043,16.43756737
ss_7.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4055.471,3983.801,282,355,320,320,4065.956,2.801762,2.796737584,0.005435513,0.005024416,0.92436833,-0.683098852
ss_7.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3989.461,3968.565,430,510,470,470,3964.347,2.817046,2.796078978,0.005435513,0.020967022,3.857413916,11.72592486
ss_7.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4016.348,3961.011,573,653,613,613,3852.37,2.840254,2.795716667,0.005435513,0.044537333,8.193768714,18.26967402
ss_8.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4054.578,4081.94,402,473,439,439,3936.797,2.82845,2.827756017,0.00590733,0.000693983,0.117478266,-18.60084946
ss_8.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4037.847,4077.257,538,637,583,583,3952.65,2.842668,2.822288194,0.00590733,0.020379806,3.449918502,10.75617671
ss_8.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4011.724,3947.104,682,761,723,723,3903.207,2.86503,2.821830882,0.00590733,0.043199118,7.312799771,17.28167365
ss_9.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4178.217,3973.727,421,495,459,459,3902.826,2.659611,2.659473656,0.006313661,0.000137344,0.021753414,-33.24945161
