file,speed,delay,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 3,9394.59,9431.906,2475,2650,2559,2559,9289.19,45.180382,44.65095022,0.00415953,0.529431779,127.2816269,42.09531436
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 1,9343.224,9332.513,150,171,159,159,9330.386,44.725777,44.65615358,0.004573016,0.06962342,15.22483488,23.65105183
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 1,9346.486,9360.071,262,280,272,272,9342.825,44.72123,44.65613276,0.004573016,0.065097242,14.23507732,23.06719661
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 2,9361.943,9348.12,120,139,130,130,9297.857,44.898304,44.656569,0.004573016,0.241735,52.86117028,34.46273547
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 2,9368.736,9391.795,290,313,301,301,9321.268,44.898777,44.65550793,0.004573016,0.243269067,53.19663084,34.51768255
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 3,9380.807,9367.229,91,111,101,101,9258.035,45.152294,44.66367001,0.004573016,0.48862399,106.8493844,40.57544049
speed100_delay50.csv,100,50,sensor1, sensor2,Crack 3,9396.711,9418.829,320,340,330,330,9297.166,45.13633,44.65654051,0.004573016,0.479789486,104.9175077,40.41695931
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 1,9337.83,9328.958,1188,1456,1314,1314,9322.538,44.737988,44.66112875,0.002943232,0.076859247,26.11389392,28.33743271
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 1,9344.24,9355.411,1864,2122,1981,1981,9333.726,44.735744,44.66192291,0.002943232,0.073821086,25.08164065,27.98711883
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 2,9357.498,9346.238,699,998,845,845,9293.322,44.929737,44.6597199,0.002943232,0.270017104,91.74170065,39.25133573
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 2,9370.057,9383.357,2345,2634,2487,2487,9309.247,44.925652,44.66136179,0.002943232,0.264290205,89.79591508,39.06513161
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 3,9378.588,9365.236,225,520,381,381,9249.025,45.196697,44.66049811,0.002943232,0.536198886,182.1803028,45.21002839
speed40_delay10.csv,40,10,sensor1, sensor2,Crack 3,9390.752,9416.693,2827,3126,2964,2964,9286.016,45.190865,44.66212569,0.002943232,0.528739313,179.6458191,45.08834229
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 1,9336.547,9329.212,515,637,571,571,9324.215,44.730518,44.66088369,0.002942151,0.069634307,23.66782473,27.48316689
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 1,9340.646,9351.902,760,881,823,823,9334.222,44.732483,44.66106054,0.002942151,0.071422461,24.275596,27.70339802
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 2,9358.112,9344.28,306,437,372,372,9293.32,44.91404,44.65868227,0.002942151,0.255357728,86.7928791,38.7696819
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 2,9365.729,9385.556,966,1103,1032,1032,9312.762,44.913918,44.65872874,0.002942151,0.255189255,86.73561734,38.76394948
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 3,9384.743,9366.23,101,235,176,176,9254.308,45.173046,44.65666249,0.002942151,0.516383509,175.5122581,44.88614908
speed40_delay25.csv,40,25,sensor1, sensor2,Crack 3,9388.983,9422.63,1165,1313,1234,1234,9287.021,45.167225,44.66077104,0.002942151,0.506453962,172.1373302,44.71750126
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 1,9341.891,9338.762,3007,3533,3294,3294,9330.553,44.730526,44.649909,0.003715342,0.080617002,21.69840519,26.7285563
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 1,9349.187,9360.873,4826,5439,5150,5150,9340.16,44.726315,44.6493384,0.003715342,0.076976599,20.7185754,26.3271978
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 2,9362.143,9349.654,2005,2549,2316,2316,9294.064,44.922359,44.64948742,0.003715342,0.272871584,73.44453483,37.31918969
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 2,9372.854,9385.64,5845,6440,6177,6177,9312.389,44.919197,44.6484931,0.003715342,0.270703904,72.86109455,37.24991382
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 3,9383.96,9369.438,1064,1668,1384,1384,9253.286,45.189629,44.65043378,0.003715342,0.539195221,145.1266622,43.23494414
speed40_delay5.csv,40,5,sensor1, sensor2,Crack 3,9392.771,9419.13,6803,7442,7114,7114,9291.331,45.179451,44.65007377,0.003715342,0.529377229,142.4841083,43.07532858
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 1,9336.333,9329.256,245,305,278,278,9324.678,44.737034,44.66354736,0.005041971,0.073486636,14.57498155,23.27216028
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 1,9344.422,9353.857,392,452,422,422,9334.606,44.739742,44.66411607,0.005041971,0.075625935,14.99927978,23.52140812
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 2,9355.294,9342.59,142,212,173,173,9288.235,44.931347,44.66519637,0.005041971,0.266150631,52.78702042,34.45054298
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 2,9365.053,9385.473,490,555,521,521,9305.149,44.934872,44.66465074,0.005041971,0.270221265,53.59437014,34.58238343
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 3,9377.517,9362.01,42,108,77,77,9248.455,45.195717,44.66682449,0.005041971,0.528892507,104.897965,40.41534126
speed40_delay50.csv,40,50,sensor1, sensor2,Crack 3,9388.432,9421.295,587,655,618,618,9283.86,45.185276,44.65924636,0.005041971,0.526029641,104.3301582,40.36819732
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 1,9338.03,9330.935,880,1079,990,990,9325.557,44.737118,44.66353785,0.003247906,0.073580147,22.65464031,27.10314342
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 1,9346.138,9354.893,1369,1573,1458,1458,9334.356,44.736538,44.66360714,0.003247906,0.072930855,22.45472939,27.02615651
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 2,9358.851,9343.223,522,726,643,643,9291.199,44.930634,44.66169273,0.003247906,0.268941266,82.804505,38.36107931
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 2,9370.008,9381.425,1713,1907,1810,1810,9310.521,44.925907,44.66233801,0.003247906,0.263568985,81.15042984,38.18581649
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 3,9380.787,9365.537,188,415,312,312,9248.568,45.195393,44.65979189,0.003247906,0.535601105,164.9065798,44.34475969
speed50_delay10.csv,50,10,sensor1, sensor2,Crack 3,9390.365,9411.876,2043,2252,2146,2146,9285.818,45.186188,44.66379534,0.003247906,0.522392658,160.8398223,44.12787169
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 1,9339.354,9327.87,382,476,427,427,9324.09,44.730881,44.6628475,0.002561554,0.0680335,26.55945868,28.48438438
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 1,9340.427,9356.316,615,708,659,659,9335.791,44.731609,44.66262229,0.002561554,0.068986707,26.93157902,28.60523634
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 2,9360.187,9344.515,240,333,287,287,9295.932,44.9044,44.66058457,0.002561554,0.243815429,95.18260564,39.57115179
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 2,9364.438,9384.448,755,849,802,802,9316.397,44.904465,44.6593434,0.002561554,0.245121598,95.69251833,39.61755968
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 3,9385.577,9363.997,98,203,152,152,9258.974,45.148014,44.66010432,0.002561554,0.487909679,190.47406,45.59671678
speed50_delay25.csv,50,25,sensor1, sensor2,Crack 3,9391.265,9422.583,891,998,940,940,9290.551,45.145996,44.65851632,0.002561554,0.487479683,190.3061949,45.58905852
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 1,9343.822,9333.874,2724,3095,2918,2918,9332.047,44.726208,44.65151204,0.003887017,0.074695965,19.21678134,25.67361297
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 1,9352.189,9361.273,4049,4435,4211,4211,9338.796,44.730255,44.6516467,0.003887017,0.0786083,20.2232946,26.11703817
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 2,9360.973,9348.354,2019,2421,2221,2221,9294.262,44.919167,44.6502337,0.003887017,0.268933299,69.18757139,36.80056173
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 2,9374.631,9386.447,4738,5124,4937,4937,9313.382,44.921574,44.64976881,0.003887017,0.271805189,69.92641287,36.892825
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 3,9386.077,9368.467,1314,1762,1569,1569,9250.706,45.186588,44.64954691,0.003887017,0.537041093,138.1627677,42.80782049
speed50_delay5.csv,50,5,sensor1, sensor2,Crack 3,9395.06,9421.228,5389,5837,5612,5612,9291.299,45.179543,44.6526147,0.003887017,0.526928299,135.5610831,42.6427006
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 1,9336.698,9326.967,183,224,200,200,9320.435,44.744064,44.67105876,0.005094884,0.073005243,14.32912899,23.12439584
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 1,9334.738,9352.424,304,349,323,323,9331.219,44.739067,44.67122492,0.005094884,0.067842075,13.31572652,22.48729734
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 2,9356.262,9342.19,109,154,131,131,9290.408,44.932922,44.66674943,0.005094884,0.266172569,52.24311177,34.36058074
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 2,9364.986,9383.391,377,422,399,399,9308.685,44.929905,44.66561573,0.005094884,0.264289275,51.87346757,34.2989056
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 3,9378.321,9363.849,39,85,62,62,9250.251,45.18528,44.66341453,0.005094884,0.521865468,102.4293228,40.20848603
speed50_delay50.csv,50,50,sensor1, sensor2,Crack 3,9388.229,9410.068,447,492,469,469,9285.637,45.180141,44.66304259,0.005094884,0.517098408,101.4936666,40.12877885
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 1,9337.781,9334.689,714,870,782,782,9323.269,44.735878,44.66073349,0.002992793,0.075144514,25.10848655,27.99641072
