timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth
20455.0,5135.29,72.805893,5167.595,72.85955040000002
20505.0,5129.06,72.850609,5164.78,72.8589912
20555.0,5181.43,72.867371,5168.718,72.85955050000001
20605.0,5184.61,72.878563,5169.353000000001,72.8668175
20655.0,5153.02,72.912102,5164.866,72.8718499
20705.0,5160.35,72.878563,5165.860999999999,72.8729691
20755.0,5091.48,72.878563,5154.687,72.8707337
20805.0,5164.03,72.811485,5154.7919999999995,72.8595536
20855.0,5172.45,72.822662,5155.739,72.85731820000001
20905.0,5171.4,72.923286,5154.312,72.8629097
20955.0,5266.96,72.956856,5167.479,72.878006
21005.0,5211.24,73.029594,5175.697,72.8959045
21055.0,5128.54,73.147179,5170.408,72.92388529999998
21105.0,5070.62,73.270447,5159.009,72.96307370000001
21155.0,5130.61,73.264839,5156.768,72.99834739999999
21205.0,5131.13,73.292877,5153.846,73.0397788
21255.0,5088.42,73.298492,5153.539999999999,73.08177169999999
21305.0,5111.48,73.214401,5148.284999999999,73.1220633
21355.0,5147.79,73.147179,5145.8189999999995,73.15451499999999
21405.0,5130.61,73.124763,5141.74,73.1746627
21455.0,5205.36,73.102364,5135.58,73.1892135
21505.0,5282.31,73.119171,5142.687,73.19817119999998
21555.0,5228.96,73.175186,5152.728999999999,73.20097189999998
21605.0,5188.32,73.175186,5164.499,73.1914458
21655.0,5167.71,73.191986,5168.209,73.1841605
21705.0,5241.93,73.248024,5179.289,73.17967519999999
21755.0,5273.53,73.214401,5197.799999999999,73.1712661
21805.0,5185.14,73.28727,5205.165999999999,73.178553
21855.0,5168.24,73.33213,5207.210999999999,73.1970481
21905.0,5212.84,73.28727,5215.433999999999,73.2132988
21955.0,5129.06,73.236816,5207.803999999999,73.226744
22005.0,5181.96,73.28727,5197.768999999999,73.24355390000001
22055.0,5209.1,73.309708,5195.783,73.25700610000001
22105.0,5279.56,73.343346,5204.906999999999,73.2738221
22155.0,5200.55,73.343346,5208.191000000001,73.2889581
22205.0,5226.27,73.320908,5206.625,73.29624650000001
22255.0,5220.35,73.27607,5201.307,73.3024134
22305.0,5221.96,73.259247,5204.989,73.2996111
22355.0,5235.43,73.197586,5211.7080000000005,73.2861567
22405.0,5177.73,73.119171,5208.197,73.2693468
22455.0,5225.19,73.091164,5217.81,73.25478160000002
22505.0,5190.98,73.074371,5218.7119999999995,73.23349170000002
22555.0,5108.4,73.147179,5208.642000000001,73.21723879999999
22605.0,5216.59,73.152779,5202.344999999999,73.19818210000001
22655.0,5276.27,73.141563,5209.9169999999995,73.1780038
22705.0,5236.52,73.102364,5210.942,73.1561494
22755.0,5180.38,73.085579,5206.944999999999,73.1371003
